marca,capacidade,avaliacao_energia,tipo,funcionalidades,cores,material,periodo_garantia,pais_fabricacao,preco,mediana_capacidade
LG,221.0,B,Side-by-Side,Smart Connectivity,Gray,Plastic,3.0,India,1923.0,431.0
Whirlpool,406.0,A+,Single Door,Ice Dispenser,Black,Plastic,9.0,USA,1099.0,479.0
Electrolux,451.0,A+,Side-by-Side,Water Dispenser,Gray,Stainless Steel,5.0,China,1127.0,461.0
Siemens,679.0,A+,Single Door,Smart Connectivity,Silver,Plastic,8.0,China,409.0,455.0
Whirlpool,449.0,A++,Double Door,Ice Dispenser,White,Plastic,2.0,India,1872.0,416.5
LG,252.0,B,Side-by-Side,Water Dispenser,White,Stainless Steel,8.0,India,680.0,431.0
Frigidaire,339.0,B,Side-by-Side,Smart Connectivity,White,Plastic,5.0,Germany,281.0,429.5
Samsung,694.0,A++,Side-by-Side,Water Dispenser,Gray,Glass,3.0,India,944.0,452.0
GE,405.0,B,Side-by-Side,Smart Connectivity,Gray,Plastic,1.0,China,1684.0,471.0
Frigidaire,348.0,A,Double Door,Water Dispenser,Black,Glass,6.0,China,1909.0,440.5
LG,420.0,A+,Single Door,Smart Connectivity,Gray,Plastic,3.0,India,823.0,453.0
Electrolux,303.0,A,Single Door,Ice Dispenser,Black,Plastic,9.0,USA,1099.0,458.0
GE,109.0,A,Single Door,Smart Connectivity,White,Glass,6.0,China,283.0,447.0
Bosch,777.0,A,Single Door,Water Dispenser,Silver,Glass,5.0,China,496.0,424.0
Panasonic,451.0,B,Side-by-Side,Water Dispenser,Black,Plastic,1.0,India,1327.0,466.0
LG,643.0,A++,Double Door,Water Dispenser,White,Glass,4.0,Germany,1981.0,465.0
Electrolux,132.0,B,Single Door,Smart Connectivity,Gray,Plastic,2.0,China,1500.0,431.5
Whirlpool,627.0,A+,Side-by-Side,Smart Connectivity,White,Plastic,5.0,Germany,1971.0,479.0
Electrolux,301.0,A,Side-by-Side,Ice Dispenser,White,Glass,7.0,India,514.0,458.0
Bosch,223.0,B,Side-by-Side,Ice Dispenser,Black,Plastic,3.0,Germany,1941.0,434.5
Samsung,451.0,A+,Double Door,Smart Connectivity,Silver,Glass,7.0,India,248.0,458.0
Haier,177.0,A,Double Door,Ice Dispenser,Silver,Plastic,5.0,USA,1830.0,469.0
Siemens,353.0,B,Single Door,Smart Connectivity,White,Plastic,4.0,Germany,743.0,450.5
Siemens,453.0,A++,Double Door,Water Dispenser,White,Plastic,2.0,USA,1174.0,469.0
Siemens,279.0,A,Double Door,Water Dispenser,Black,Glass,8.0,Germany,1427.0,476.0
Samsung,157.0,B,Side-by-Side,Smart Connectivity,White,Stainless Steel,6.0,India,1208.0,447.0
Electrolux,787.0,B,Single Door,Smart Connectivity,White,Plastic,9.0,Germany,946.0,431.5
Whirlpool,376.0,B,Single Door,Smart Connectivity,Silver,Plastic,5.0,USA,1466.0,461.0
Whirlpool,759.0,A,Single Door,Smart Connectivity,White,Glass,7.0,Germany,1898.0,457.5
GE,449.0,A++,Single Door,Water Dispenser,Silver,Stainless Steel,9.0,Germany,927.0,446.0
LG,245.0,B,Single Door,Smart Connectivity,Gray,Plastic,4.0,India,923.0,431.0
Siemens,221.0,A,Single Door,Ice Dispenser,White,Stainless Steel,2.0,Germany,676.0,476.0
Whirlpool,416.0,A++,Side-by-Side,Smart Connectivity,Gray,Plastic,2.0,USA,1808.0,416.5
Haier,766.0,B,Double Door,Smart Connectivity,Gray,Stainless Steel,2.0,USA,1588.0,440.0
Frigidaire,422.0,A,Side-by-Side,Smart Connectivity,Black,Stainless Steel,8.0,India,376.0,440.5
Whirlpool,795.0,A,Double Door,Water Dispenser,Silver,Plastic,1.0,China,1788.0,457.5
Electrolux,750.0,A,Single Door,Smart Connectivity,Silver,Glass,4.0,China,1262.0,458.0
GE,660.0,A++,Side-by-Side,Smart Connectivity,Silver,Glass,7.0,Germany,1747.0,446.0
Siemens,499.0,A,Double Door,Smart Connectivity,Gray,Stainless Steel,7.0,China,1703.0,476.0
Electrolux,148.0,A,Side-by-Side,Smart Connectivity,Silver,Plastic,8.0,USA,377.0,458.0
Br@ndX,297.0,B,Single Door,Smart Connectivity,Gray,Plastic,4.0,Germany,841.0,487.0
GE,635.0,B,Single Door,Smart Connectivity,Silver,Plastic,6.0,Germany,691.0,471.0
GE,568.0,A+,Side-by-Side,Ice Dispenser,White,Glass,4.0,China,1040.0,403.0
Electrolux,132.0,B,Single Door,Smart Connectivity,Gray,Glass,9.0,USA,1744.0,431.5
Haier,191.0,B,Double Door,Ice Dispenser,Gray,Glass,8.0,Germany,1423.0,440.0
Samsung,657.0,A,Side-by-Side,Water Dispenser,White,Plastic,9.0,USA,1544.0,440.0
Electrolux,451.0,A++,Single Door,Smart Connectivity,Black,Stainless Steel,9.0,India,1807.0,431.0
Whirlpool,333.0,A+,Side-by-Side,Water Dispenser,White,Glass,3.0,Germany,878.0,479.0
GE,705.0,A++,Double Door,Ice Dispenser,Gray,Glass,5.0,USA,971.0,446.0
Haier,721.0,A,Single Door,Ice Dispenser,Silver,Plastic,8.0,Germany,751.0,469.0
Electrolux,635.0,A+,Double Door,Smart Connectivity,Gray,Plastic,9.0,Germany,937.0,461.0
Samsung,108.0,B,Single Door,Smart Connectivity,Black,Stainless Steel,9.0,USA,1366.0,447.0
Panasonic,616.0,A+,Single Door,Smart Connectivity,Black,Glass,6.0,USA,1594.0,430.0
Electrolux,765.0,A+,Double Door,Smart Connectivity,White,Stainless Steel,3.0,China,1106.0,461.0
Samsung,103.0,B,Double Door,Smart Connectivity,Gray,Plastic,5.0,China,1891.0,447.0
GE,505.0,A++,Double Door,Water Dispenser,Silver,Glass,4.0,India,1327.0,446.0
Samsung,708.0,B,Single Door,Smart Connectivity,Silver,Stainless Steel,5.0,China,1058.0,447.0
Haier,407.0,A+,Side-by-Side,Water Dispenser,Black,Stainless Steel,1.0,USA,1842.0,444.0
Frigidaire,568.0,A+,Single Door,Smart Connectivity,Silver,Glass,1.0,China,435.0,446.5
LG,304.0,B,Side-by-Side,Ice Dispenser,White,Glass,9.0,China,1664.0,431.0
Frigidaire,117.0,B,Double Door,Water Dispenser,Black,Glass,6.0,India,941.0,429.5
Samsung,292.0,B,Double Door,Ice Dispenser,Silver,Glass,1.0,China,1519.0,447.0
Bosch,716.0,B,Single Door,Ice Dispenser,Silver,Stainless Steel,2.0,Germany,353.0,434.5
Siemens,397.0,A+,Single Door,Smart Connectivity,Gray,Glass,9.0,India,1099.0,455.0
Bosch,401.0,B,Side-by-Side,Ice Dispenser,White,Plastic,4.0,India,1004.0,434.5
Frigidaire,340.0,A+,Double Door,Water Dispenser,White,Plastic,5.0,Germany,1628.0,446.5
LG,229.0,B,Single Door,Ice Dispenser,Gray,Glass,3.0,USA,1637.0,431.0
LG,284.0,A+,Single Door,Smart Connectivity,White,Plastic,6.0,China,278.0,453.0
Haier,409.0,A+,Single Door,Smart Connectivity,Gray,Plastic,1.0,USA,629.0,444.0
Haier,120.0,A+,Double Door,Smart Connectivity,Silver,Stainless Steel,6.0,China,1924.0,444.0
Bosch,236.0,A++,Single Door,Ice Dispenser,Black,Stainless Steel,6.0,China,266.0,441.5
GE,790.0,A++,Side-by-Side,Water Dispenser,Gray,Plastic,3.0,India,798.0,446.0
LG,166.0,A+,Side-by-Side,Smart Connectivity,Gray,Plastic,9.0,India,1322.0,453.0
Samsung,121.0,B,Single Door,Smart Connectivity,White,Glass,1.0,China,203.0,447.0
Bosch,783.0,A,Double Door,Smart Connectivity,White,Plastic,1.0,China,1739.0,424.0
Siemens,386.0,A+,Side-by-Side,Smart Connectivity,Black,Stainless Steel,7.0,China,465.0,455.0
Whirlpool,667.0,B,Single Door,Smart Connectivity,White,Stainless Steel,5.0,USA,1511.0,461.0
Frigidaire,257.0,A+,Side-by-Side,Ice Dispenser,Silver,Glass,2.0,China,319.0,446.5
Whirlpool,703.0,A,Side-by-Side,Smart Connectivity,Black,Stainless Steel,5.0,USA,1217.0,457.5
Siemens,608.0,A++,Double Door,Smart Connectivity,Silver,Glass,3.0,Germany,523.0,469.0
Haier,755.0,A,Double Door,Water Dispenser,White,Stainless Steel,7.0,Germany,774.0,469.0
Electrolux,467.0,A,Side-by-Side,Water Dispenser,White,Glass,9.0,Germany,1099.0,458.0
Electrolux,168.0,A+,Side-by-Side,Water Dispenser,Silver,Plastic,9.0,China,1414.0,461.0
Haier,502.0,A,Side-by-Side,Smart Connectivity,Black,Glass,4.0,Germany,384.0,469.0
Frigidaire,672.0,A++,Side-by-Side,Smart Connectivity,Black,Stainless Steel,8.0,USA,444.0,436.0
LG,702.0,A,Double Door,Ice Dispenser,Black,Glass,3.0,USA,1150.0,458.0
Siemens,337.0,A++,Double Door,Smart Connectivity,Black,Glass,6.0,Germany,1393.0,469.0
Haier,648.0,B,Double Door,Smart Connectivity,Black,Plastic,3.0,Germany,714.0,440.0
Panasonic,140.0,A,Side-by-Side,Water Dispenser,Silver,Stainless Steel,9.0,Germany,1596.0,463.0
Bosch,485.0,B,Double Door,Smart Connectivity,Silver,Stainless Steel,7.0,India,801.0,434.5
Samsung,342.0,B,Double Door,Water Dispenser,Gray,Glass,2.0,USA,1015.0,447.0
LG,338.0,A,Side-by-Side,Smart Connectivity,Silver,Plastic,3.0,India,1930.0,458.0
Haier,588.0,A++,Single Door,Ice Dispenser,Black,Plastic,1.0,India,1099.0,434.5
Samsung,451.0,A,Single Door,Ice Dispenser,Silver,Glass,6.0,China,1689.0,440.0
Siemens,596.0,A,Double Door,Water Dispenser,Black,Plastic,7.0,China,1929.0,476.0
Siemens,120.0,B,Single Door,Ice Dispenser,Gray,Plastic,5.0,Germany,1120.0,450.5
GE,377.0,A++,Single Door,Smart Connectivity,White,Plastic,7.0,India,954.0,446.0
Electrolux,568.0,B,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,5.0,China,1732.0,431.5
Samsung,593.0,A,Side-by-Side,Smart Connectivity,Black,Plastic,3.0,Germany,394.0,440.0
Haier,451.0,B,Side-by-Side,Water Dispenser,Silver,Stainless Steel,2.0,China,1397.0,440.0
GE,451.0,B,Single Door,Smart Connectivity,Black,Stainless Steel,4.0,Germany,1356.0,471.0
Haier,646.0,A+,Single Door,Smart Connectivity,Black,Plastic,8.0,China,1651.0,444.0
LG,359.0,B,Double Door,Smart Connectivity,White,Glass,8.0,China,862.0,431.0
Bosch,664.0,A++,Single Door,Smart Connectivity,White,Plastic,4.0,China,994.0,441.5
Bosch,402.0,A,Double Door,Water Dispenser,White,Glass,3.0,China,1192.0,424.0
Siemens,639.0,A+,Side-by-Side,Ice Dispenser,Gray,Glass,5.0,Germany,946.0,455.0
Bosch,647.0,B,Single Door,Ice Dispenser,Silver,Stainless Steel,1.0,Germany,760.0,434.5
LG,503.0,B,Side-by-Side,Smart Connectivity,Black,Stainless Steel,4.0,Germany,1067.0,431.0
GE,474.0,B,Double Door,Ice Dispenser,Silver,Plastic,8.0,China,1249.0,471.0
GE,662.0,A+,Double Door,Smart Connectivity,Gray,Glass,1.0,China,1099.0,403.0
Frigidaire,115.0,A++,Single Door,Water Dispenser,Silver,Stainless Steel,1.0,China,1099.0,436.0
Frigidaire,178.0,A+,Double Door,Ice Dispenser,Gray,Glass,7.0,China,946.0,446.5
Bosch,218.0,A++,Double Door,Water Dispenser,Black,Stainless Steel,5.0,India,1514.0,441.5
Electrolux,364.0,B,Side-by-Side,Smart Connectivity,Silver,Glass,9.0,China,751.0,431.5
Siemens,480.0,A,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,2.0,China,968.0,476.0
Panasonic,496.0,B,Double Door,Water Dispenser,Gray,Plastic,6.0,China,1488.0,466.0
Siemens,727.0,B,Double Door,Smart Connectivity,White,Stainless Steel,2.0,USA,1861.0,450.5
Bosch,766.0,A+,Side-by-Side,Smart Connectivity,Silver,Glass,4.0,India,1099.0,446.5
Haier,596.0,A+,Side-by-Side,Ice Dispenser,Silver,Stainless Steel,5.0,China,1528.0,444.0
Electrolux,225.0,A,Single Door,Smart Connectivity,Silver,Stainless Steel,7.0,China,927.0,458.0
Haier,391.0,A+,Single Door,Water Dispenser,White,Stainless Steel,2.0,Germany,879.0,444.0
Frigidaire,407.0,B,Double Door,Smart Connectivity,Black,Stainless Steel,8.0,USA,646.0,429.5
Samsung,560.0,B,Single Door,Smart Connectivity,Gray,Glass,9.0,Germany,314.0,447.0
GE,613.0,A++,Single Door,Smart Connectivity,Silver,Glass,6.0,Germany,538.0,446.0
Whirlpool,679.0,A+,Single Door,Smart Connectivity,Black,Glass,8.0,China,850.0,479.0
Panasonic,101.0,A+,Side-by-Side,Smart Connectivity,Silver,Plastic,7.0,China,1767.0,430.0
Frigidaire,744.0,B,Double Door,Water Dispenser,Black,Glass,4.0,USA,332.0,429.5
Frigidaire,363.0,A,Double Door,Ice Dispenser,White,Stainless Steel,2.0,China,1300.0,440.5
Electrolux,618.0,A,Double Door,Ice Dispenser,White,Plastic,1.0,Germany,603.0,458.0
Bosch,668.0,A,Double Door,Ice Dispenser,Black,Stainless Steel,6.0,Germany,1035.0,424.0
Siemens,356.0,B,Double Door,Ice Dispenser,White,Glass,7.0,Germany,426.0,450.5
Bosch,506.0,A++,Single Door,Ice Dispenser,Gray,Plastic,5.0,Germany,1829.0,441.5
Electrolux,451.0,A+,Side-by-Side,Smart Connectivity,Silver,Glass,5.0,Germany,905.0,461.0
Siemens,340.0,A++,Single Door,Smart Connectivity,Black,Stainless Steel,3.0,USA,1603.0,469.0
GE,753.0,B,Single Door,Smart Connectivity,Black,Glass,8.0,India,1519.0,471.0
Samsung,686.0,A,Double Door,Smart Connectivity,White,Stainless Steel,6.0,USA,477.0,440.0
Samsung,120.0,A++,Side-by-Side,Ice Dispenser,Black,Glass,2.0,India,622.0,452.0
Frigidaire,490.0,A,Side-by-Side,Water Dispenser,Silver,Plastic,3.0,China,996.0,440.5
Whirlpool,548.0,A+,Double Door,Ice Dispenser,Black,Plastic,6.0,China,1793.0,479.0
Bosch,591.0,A++,Single Door,Smart Connectivity,Black,Plastic,6.0,India,571.0,441.5
Samsung,533.0,A++,Side-by-Side,Smart Connectivity,Black,Stainless Steel,4.0,China,1379.0,452.0
Panasonic,258.0,B,Side-by-Side,Smart Connectivity,Gray,Plastic,4.0,China,1357.0,466.0
Samsung,762.0,A+,Side-by-Side,Smart Connectivity,Black,Plastic,9.0,India,845.0,458.0
GE,780.0,A+,Double Door,Ice Dispenser,White,Plastic,1.0,USA,1290.0,403.0
Haier,749.0,B,Single Door,Smart Connectivity,Gray,Glass,8.0,China,944.0,440.0
Siemens,538.0,B,Single Door,Ice Dispenser,Silver,Stainless Steel,5.0,USA,1602.0,450.5
Haier,388.0,B,Single Door,Ice Dispenser,Silver,Plastic,5.0,USA,1871.0,440.0
Siemens,200.0,A++,Side-by-Side,Smart Connectivity,Black,Stainless Steel,4.0,China,1668.0,469.0
Haier,775.0,B,Double Door,Water Dispenser,Black,Plastic,5.0,China,1706.0,440.0
Bosch,270.0,A+,Single Door,Water Dispenser,White,Plastic,8.0,India,1200.0,446.5
Whirlpool,248.0,A++,Single Door,Smart Connectivity,Black,Stainless Steel,3.0,India,1099.0,416.5
Bosch,239.0,A,Single Door,Ice Dispenser,Black,Stainless Steel,3.0,USA,1334.0,424.0
Siemens,141.0,A,Side-by-Side,Smart Connectivity,White,Stainless Steel,3.0,USA,243.0,476.0
Samsung,622.0,A++,Single Door,Ice Dispenser,Silver,Glass,2.0,Germany,939.0,452.0
Panasonic,451.0,B,Side-by-Side,Ice Dispenser,Black,Plastic,5.0,USA,1099.0,466.0
Bosch,160.0,A++,Side-by-Side,Smart Connectivity,Black,Glass,4.0,USA,280.0,441.5
Frigidaire,613.0,A++,Side-by-Side,Smart Connectivity,Gray,Stainless Steel,3.0,China,1049.0,436.0
Samsung,507.0,A+,Side-by-Side,Smart Connectivity,White,Glass,5.0,India,447.0,458.0
LG,481.0,A+,Single Door,Ice Dispenser,White,Plastic,5.0,India,1628.0,453.0
Samsung,209.0,B,Side-by-Side,Smart Connectivity,Black,Plastic,8.0,India,1541.0,447.0
Samsung,428.0,A++,Double Door,Smart Connectivity,White,Stainless Steel,8.0,China,1019.0,452.0
Frigidaire,401.0,B,Single Door,Smart Connectivity,Silver,Stainless Steel,4.0,China,1120.0,429.5
Bosch,559.0,B,Side-by-Side,Smart Connectivity,Gray,Glass,6.0,China,932.0,434.5
Haier,451.0,B,Single Door,Ice Dispenser,Silver,Glass,2.0,USA,1156.0,440.0
GE,546.0,A+,Single Door,Smart Connectivity,Silver,Stainless Steel,8.0,India,1585.0,403.0
GE,607.0,A,Double Door,Ice Dispenser,Gray,Plastic,8.0,India,368.0,447.0
Haier,791.0,A+,Side-by-Side,Smart Connectivity,White,Plastic,7.0,China,1574.0,444.0
GE,691.0,A++,Single Door,Water Dispenser,Silver,Glass,5.0,India,1595.0,446.0
Samsung,764.0,A++,Single Door,Smart Connectivity,Gray,Glass,9.0,China,308.0,452.0
Panasonic,185.0,B,Double Door,Ice Dispenser,Silver,Stainless Steel,1.0,Germany,1256.0,466.0
Samsung,291.0,A++,Side-by-Side,Ice Dispenser,Black,Plastic,9.0,India,677.0,452.0
LG,603.0,B,Double Door,Smart Connectivity,Silver,Stainless Steel,8.0,China,298.0,431.0
Samsung,451.0,A+,Side-by-Side,Smart Connectivity,Black,Plastic,9.0,India,312.0,458.0
GE,710.0,B,Double Door,Ice Dispenser,Silver,Plastic,6.0,Germany,1603.0,471.0
Siemens,297.0,A,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,8.0,Germany,649.0,476.0
Siemens,632.0,A,Single Door,Smart Connectivity,Black,Stainless Steel,4.0,India,640.0,476.0
Panasonic,387.0,A++,Side-by-Side,Ice Dispenser,Gray,Plastic,4.0,Germany,1185.0,469.0
Electrolux,609.0,A++,Side-by-Side,Smart Connectivity,Black,Stainless Steel,7.0,India,342.0,431.0
Siemens,708.0,B,Double Door,Smart Connectivity,Gray,Plastic,3.0,India,929.0,450.5
Frigidaire,721.0,A+,Single Door,Smart Connectivity,Black,Plastic,7.0,India,485.0,446.5
Whirlpool,248.0,B,Single Door,Smart Connectivity,Black,Glass,7.0,China,670.0,461.0
Frigidaire,338.0,A+,Double Door,Water Dispenser,Silver,Glass,9.0,China,1787.0,446.5
Panasonic,230.0,A+,Side-by-Side,Water Dispenser,White,Glass,9.0,Germany,1798.0,430.0
Samsung,516.0,A++,Double Door,Smart Connectivity,White,Glass,3.0,USA,1901.0,452.0
Siemens,743.0,A+,Double Door,Smart Connectivity,White,Plastic,9.0,India,1977.0,455.0
Bosch,451.0,B,Side-by-Side,Water Dispenser,Gray,Plastic,7.0,Germany,1636.0,434.5
Whirlpool,264.0,A,Side-by-Side,Smart Connectivity,Black,Glass,4.0,China,1310.0,457.5
Whirlpool,309.0,B,Double Door,Ice Dispenser,Silver,Plastic,6.0,India,922.0,461.0
Siemens,275.0,A,Single Door,Water Dispenser,Black,Plastic,1.0,China,1942.0,476.0
Frigidaire,523.0,B,Side-by-Side,Smart Connectivity,Silver,Plastic,5.0,India,1767.0,429.5
Samsung,363.0,B,Side-by-Side,Water Dispenser,White,Glass,9.0,China,677.0,447.0
Siemens,632.0,B,Side-by-Side,Smart Connectivity,Black,Stainless Steel,6.0,USA,1335.0,450.5
Frigidaire,270.0,A+,Side-by-Side,Smart Connectivity,Silver,Glass,7.0,Germany,340.0,446.5
Siemens,314.0,B,Side-by-Side,Smart Connectivity,Silver,Plastic,2.0,USA,832.0,450.5
Frigidaire,573.0,A++,Single Door,Water Dispenser,Silver,Stainless Steel,1.0,Germany,1557.0,436.0
Samsung,548.0,A+,Side-by-Side,Ice Dispenser,Silver,Stainless Steel,9.0,China,222.0,458.0
Samsung,446.0,B,Double Door,Smart Connectivity,White,Glass,8.0,USA,1923.0,447.0
Samsung,121.0,A,Side-by-Side,Water Dispenser,White,Glass,4.0,China,1335.0,440.0
Haier,348.0,A,Side-by-Side,Ice Dispenser,White,Plastic,5.0,USA,1849.0,469.0
Panasonic,746.0,A,Side-by-Side,Smart Connectivity,Black,Plastic,6.0,USA,557.0,463.0
Frigidaire,133.0,A+,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,4.0,China,1539.0,446.5
Samsung,247.0,A+,Single Door,Smart Connectivity,White,Stainless Steel,5.0,Germany,848.0,458.0
Siemens,200.0,B,Double Door,Water Dispenser,White,Glass,5.0,China,1644.0,450.5
Haier,532.0,A++,Double Door,Smart Connectivity,White,Plastic,6.0,USA,1045.0,434.5
Panasonic,283.0,A,Single Door,Water Dispenser,Silver,Plastic,7.0,Germany,1152.0,463.0
Electrolux,606.0,A,Side-by-Side,Smart Connectivity,White,Stainless Steel,6.0,Germany,541.0,458.0
Electrolux,362.0,A++,Double Door,Water Dispenser,Silver,Glass,3.0,India,583.0,431.0
Samsung,595.0,A+,Double Door,Smart Connectivity,Silver,Glass,1.0,India,1209.0,458.0
Haier,380.0,A,Single Door,Water Dispenser,Black,Stainless Steel,5.0,Germany,1285.0,469.0
Electrolux,439.0,A,Side-by-Side,Smart Connectivity,Gray,Plastic,3.0,India,226.0,458.0
Panasonic,411.0,A,Double Door,Water Dispenser,Black,Stainless Steel,2.0,India,1141.0,463.0
Electrolux,220.0,A++,Double Door,Water Dispenser,Silver,Plastic,3.0,USA,475.0,431.0
LG,408.0,B,Double Door,Ice Dispenser,White,Stainless Steel,3.0,USA,380.0,431.0
Samsung,767.0,A+,Side-by-Side,Ice Dispenser,Black,Plastic,9.0,USA,1808.0,458.0
GE,451.0,A++,Double Door,Water Dispenser,Black,Glass,1.0,China,891.0,446.0
Samsung,281.0,B,Side-by-Side,Smart Connectivity,Silver,Glass,6.0,Germany,1247.0,447.0
Haier,779.0,A++,Single Door,Water Dispenser,White,Stainless Steel,2.0,Germany,961.0,434.5
Br@ndX,377.0,A++,Double Door,Smart Connectivity,Silver,Glass,4.0,India,1737.0,368.0
GE,765.0,A++,Side-by-Side,Smart Connectivity,Black,Plastic,8.0,USA,1609.0,446.0
Samsung,785.0,A+,Double Door,Smart Connectivity,Silver,Plastic,2.0,Germany,1986.0,458.0
Electrolux,417.0,A,Single Door,Smart Connectivity,Silver,Stainless Steel,7.0,China,1279.0,458.0
